persona_id,framework_name,framework_description,persona_description
0447288b,MBTI,"
    The Myers-Briggs Type Indicator (MBTI) is a personality assessment system that categorizes individuals into 16 distinct personality types based on four dichotomies: Extraversion (E) vs. Introversion (I), Sensing (S) vs. Intuition (N), Thinking (T) vs. Feeling (F), and Judging (J) vs. Perceiving (P). Each type is represented by a four-letter code (e.g., INTJ, ESFP) that indicates a person's preferences in how they perceive the world, process information, make decisions, and structure their lives. These types are believed to influence communication styles, problem-solving approaches, and interpersonal dynamics, providing a framework for understanding individual differences in behavior and cognition.
    ",INTJ
0d713d4b,MBTI,"
    The Myers-Briggs Type Indicator (MBTI) is a personality assessment system that categorizes individuals into 16 distinct personality types based on four dichotomies: Extraversion (E) vs. Introversion (I), Sensing (S) vs. Intuition (N), Thinking (T) vs. Feeling (F), and Judging (J) vs. Perceiving (P). Each type is represented by a four-letter code (e.g., INTJ, ESFP) that indicates a person's preferences in how they perceive the world, process information, make decisions, and structure their lives. These types are believed to influence communication styles, problem-solving approaches, and interpersonal dynamics, providing a framework for understanding individual differences in behavior and cognition.
    ",INTP
3694087d,MBTI,"
    The Myers-Briggs Type Indicator (MBTI) is a personality assessment system that categorizes individuals into 16 distinct personality types based on four dichotomies: Extraversion (E) vs. Introversion (I), Sensing (S) vs. Intuition (N), Thinking (T) vs. Feeling (F), and Judging (J) vs. Perceiving (P). Each type is represented by a four-letter code (e.g., INTJ, ESFP) that indicates a person's preferences in how they perceive the world, process information, make decisions, and structure their lives. These types are believed to influence communication styles, problem-solving approaches, and interpersonal dynamics, providing a framework for understanding individual differences in behavior and cognition.
    ",INFJ
69af655f,MBTI,"
    The Myers-Briggs Type Indicator (MBTI) is a personality assessment system that categorizes individuals into 16 distinct personality types based on four dichotomies: Extraversion (E) vs. Introversion (I), Sensing (S) vs. Intuition (N), Thinking (T) vs. Feeling (F), and Judging (J) vs. Perceiving (P). Each type is represented by a four-letter code (e.g., INTJ, ESFP) that indicates a person's preferences in how they perceive the world, process information, make decisions, and structure their lives. These types are believed to influence communication styles, problem-solving approaches, and interpersonal dynamics, providing a framework for understanding individual differences in behavior and cognition.
    ",INFP
a3044540,MBTI,"
    The Myers-Briggs Type Indicator (MBTI) is a personality assessment system that categorizes individuals into 16 distinct personality types based on four dichotomies: Extraversion (E) vs. Introversion (I), Sensing (S) vs. Intuition (N), Thinking (T) vs. Feeling (F), and Judging (J) vs. Perceiving (P). Each type is represented by a four-letter code (e.g., INTJ, ESFP) that indicates a person's preferences in how they perceive the world, process information, make decisions, and structure their lives. These types are believed to influence communication styles, problem-solving approaches, and interpersonal dynamics, providing a framework for understanding individual differences in behavior and cognition.
    ",ISTJ
70099880,MBTI,"
    The Myers-Briggs Type Indicator (MBTI) is a personality assessment system that categorizes individuals into 16 distinct personality types based on four dichotomies: Extraversion (E) vs. Introversion (I), Sensing (S) vs. Intuition (N), Thinking (T) vs. Feeling (F), and Judging (J) vs. Perceiving (P). Each type is represented by a four-letter code (e.g., INTJ, ESFP) that indicates a person's preferences in how they perceive the world, process information, make decisions, and structure their lives. These types are believed to influence communication styles, problem-solving approaches, and interpersonal dynamics, providing a framework for understanding individual differences in behavior and cognition.
    ",ISTP
8b640791,MBTI,"
    The Myers-Briggs Type Indicator (MBTI) is a personality assessment system that categorizes individuals into 16 distinct personality types based on four dichotomies: Extraversion (E) vs. Introversion (I), Sensing (S) vs. Intuition (N), Thinking (T) vs. Feeling (F), and Judging (J) vs. Perceiving (P). Each type is represented by a four-letter code (e.g., INTJ, ESFP) that indicates a person's preferences in how they perceive the world, process information, make decisions, and structure their lives. These types are believed to influence communication styles, problem-solving approaches, and interpersonal dynamics, providing a framework for understanding individual differences in behavior and cognition.
    ",ISFJ
8881fc6a,MBTI,"
    The Myers-Briggs Type Indicator (MBTI) is a personality assessment system that categorizes individuals into 16 distinct personality types based on four dichotomies: Extraversion (E) vs. Introversion (I), Sensing (S) vs. Intuition (N), Thinking (T) vs. Feeling (F), and Judging (J) vs. Perceiving (P). Each type is represented by a four-letter code (e.g., INTJ, ESFP) that indicates a person's preferences in how they perceive the world, process information, make decisions, and structure their lives. These types are believed to influence communication styles, problem-solving approaches, and interpersonal dynamics, providing a framework for understanding individual differences in behavior and cognition.
    ",ISFP
04027dd6,MBTI,"
    The Myers-Briggs Type Indicator (MBTI) is a personality assessment system that categorizes individuals into 16 distinct personality types based on four dichotomies: Extraversion (E) vs. Introversion (I), Sensing (S) vs. Intuition (N), Thinking (T) vs. Feeling (F), and Judging (J) vs. Perceiving (P). Each type is represented by a four-letter code (e.g., INTJ, ESFP) that indicates a person's preferences in how they perceive the world, process information, make decisions, and structure their lives. These types are believed to influence communication styles, problem-solving approaches, and interpersonal dynamics, providing a framework for understanding individual differences in behavior and cognition.
    ",ENTJ
d31cd178,MBTI,"
    The Myers-Briggs Type Indicator (MBTI) is a personality assessment system that categorizes individuals into 16 distinct personality types based on four dichotomies: Extraversion (E) vs. Introversion (I), Sensing (S) vs. Intuition (N), Thinking (T) vs. Feeling (F), and Judging (J) vs. Perceiving (P). Each type is represented by a four-letter code (e.g., INTJ, ESFP) that indicates a person's preferences in how they perceive the world, process information, make decisions, and structure their lives. These types are believed to influence communication styles, problem-solving approaches, and interpersonal dynamics, providing a framework for understanding individual differences in behavior and cognition.
    ",ENTP
35eb8c37,MBTI,"
    The Myers-Briggs Type Indicator (MBTI) is a personality assessment system that categorizes individuals into 16 distinct personality types based on four dichotomies: Extraversion (E) vs. Introversion (I), Sensing (S) vs. Intuition (N), Thinking (T) vs. Feeling (F), and Judging (J) vs. Perceiving (P). Each type is represented by a four-letter code (e.g., INTJ, ESFP) that indicates a person's preferences in how they perceive the world, process information, make decisions, and structure their lives. These types are believed to influence communication styles, problem-solving approaches, and interpersonal dynamics, providing a framework for understanding individual differences in behavior and cognition.
    ",ENFJ
59465b9c,MBTI,"
    The Myers-Briggs Type Indicator (MBTI) is a personality assessment system that categorizes individuals into 16 distinct personality types based on four dichotomies: Extraversion (E) vs. Introversion (I), Sensing (S) vs. Intuition (N), Thinking (T) vs. Feeling (F), and Judging (J) vs. Perceiving (P). Each type is represented by a four-letter code (e.g., INTJ, ESFP) that indicates a person's preferences in how they perceive the world, process information, make decisions, and structure their lives. These types are believed to influence communication styles, problem-solving approaches, and interpersonal dynamics, providing a framework for understanding individual differences in behavior and cognition.
    ",ENFP
960b9e70,MBTI,"
    The Myers-Briggs Type Indicator (MBTI) is a personality assessment system that categorizes individuals into 16 distinct personality types based on four dichotomies: Extraversion (E) vs. Introversion (I), Sensing (S) vs. Intuition (N), Thinking (T) vs. Feeling (F), and Judging (J) vs. Perceiving (P). Each type is represented by a four-letter code (e.g., INTJ, ESFP) that indicates a person's preferences in how they perceive the world, process information, make decisions, and structure their lives. These types are believed to influence communication styles, problem-solving approaches, and interpersonal dynamics, providing a framework for understanding individual differences in behavior and cognition.
    ",ESTJ
27ae72cf,MBTI,"
    The Myers-Briggs Type Indicator (MBTI) is a personality assessment system that categorizes individuals into 16 distinct personality types based on four dichotomies: Extraversion (E) vs. Introversion (I), Sensing (S) vs. Intuition (N), Thinking (T) vs. Feeling (F), and Judging (J) vs. Perceiving (P). Each type is represented by a four-letter code (e.g., INTJ, ESFP) that indicates a person's preferences in how they perceive the world, process information, make decisions, and structure their lives. These types are believed to influence communication styles, problem-solving approaches, and interpersonal dynamics, providing a framework for understanding individual differences in behavior and cognition.
    ",ESTP
1ee61741,MBTI,"
    The Myers-Briggs Type Indicator (MBTI) is a personality assessment system that categorizes individuals into 16 distinct personality types based on four dichotomies: Extraversion (E) vs. Introversion (I), Sensing (S) vs. Intuition (N), Thinking (T) vs. Feeling (F), and Judging (J) vs. Perceiving (P). Each type is represented by a four-letter code (e.g., INTJ, ESFP) that indicates a person's preferences in how they perceive the world, process information, make decisions, and structure their lives. These types are believed to influence communication styles, problem-solving approaches, and interpersonal dynamics, providing a framework for understanding individual differences in behavior and cognition.
    ",ESFJ
cc0ef006,MBTI,"
    The Myers-Briggs Type Indicator (MBTI) is a personality assessment system that categorizes individuals into 16 distinct personality types based on four dichotomies: Extraversion (E) vs. Introversion (I), Sensing (S) vs. Intuition (N), Thinking (T) vs. Feeling (F), and Judging (J) vs. Perceiving (P). Each type is represented by a four-letter code (e.g., INTJ, ESFP) that indicates a person's preferences in how they perceive the world, process information, make decisions, and structure their lives. These types are believed to influence communication styles, problem-solving approaches, and interpersonal dynamics, providing a framework for understanding individual differences in behavior and cognition.
    ",ESFP
2d57d05a,Zodiac,"
    The Horoscope uses the 12 zodiac signs to describe personality types.
    ",Aries
a05f9ce4,Zodiac,"
    The Horoscope uses the 12 zodiac signs to describe personality types.
    ",Taurus
08e3a4de,Zodiac,"
    The Horoscope uses the 12 zodiac signs to describe personality types.
    ",Gemini
688ad2c6,Zodiac,"
    The Horoscope uses the 12 zodiac signs to describe personality types.
    ",Cancer
ceaa8273,Zodiac,"
    The Horoscope uses the 12 zodiac signs to describe personality types.
    ",Leo
de0fd70a,Zodiac,"
    The Horoscope uses the 12 zodiac signs to describe personality types.
    ",Virgo
68114429,Zodiac,"
    The Horoscope uses the 12 zodiac signs to describe personality types.
    ",Libra
ce3fd369,Zodiac,"
    The Horoscope uses the 12 zodiac signs to describe personality types.
    ",Scorpio
374df6f1,Zodiac,"
    The Horoscope uses the 12 zodiac signs to describe personality types.
    ",Sagittarius
7ca5d177,Zodiac,"
    The Horoscope uses the 12 zodiac signs to describe personality types.
    ",Capricorn
574873b8,Zodiac,"
    The Horoscope uses the 12 zodiac signs to describe personality types.
    ",Aquarius
602e7e13,Zodiac,"
    The Horoscope uses the 12 zodiac signs to describe personality types.
    ",Pisces
14983cba,Enneagram,"
    The Enneagram is a personality typing system that describes nine distinct personality types, each driven by core motivations, fears, and desires. These types, numbered 1 through 9, represent different ways of perceiving and interacting with the world. Each type has a unique worldview, emotional patterns, and coping mechanisms. The Enneagram emphasizes personal growth by helping individuals understand their core type, as well as the influences of adjacent types (wings) and how they behave under stress or security.
    ",1w9
a4fb65d9,Enneagram,"
    The Enneagram is a personality typing system that describes nine distinct personality types, each driven by core motivations, fears, and desires. These types, numbered 1 through 9, represent different ways of perceiving and interacting with the world. Each type has a unique worldview, emotional patterns, and coping mechanisms. The Enneagram emphasizes personal growth by helping individuals understand their core type, as well as the influences of adjacent types (wings) and how they behave under stress or security.
    ",1w2
ce059ce0,Enneagram,"
    The Enneagram is a personality typing system that describes nine distinct personality types, each driven by core motivations, fears, and desires. These types, numbered 1 through 9, represent different ways of perceiving and interacting with the world. Each type has a unique worldview, emotional patterns, and coping mechanisms. The Enneagram emphasizes personal growth by helping individuals understand their core type, as well as the influences of adjacent types (wings) and how they behave under stress or security.
    ",2w1
7830d239,Enneagram,"
    The Enneagram is a personality typing system that describes nine distinct personality types, each driven by core motivations, fears, and desires. These types, numbered 1 through 9, represent different ways of perceiving and interacting with the world. Each type has a unique worldview, emotional patterns, and coping mechanisms. The Enneagram emphasizes personal growth by helping individuals understand their core type, as well as the influences of adjacent types (wings) and how they behave under stress or security.
    ",2w3
0dbc7d6a,Enneagram,"
    The Enneagram is a personality typing system that describes nine distinct personality types, each driven by core motivations, fears, and desires. These types, numbered 1 through 9, represent different ways of perceiving and interacting with the world. Each type has a unique worldview, emotional patterns, and coping mechanisms. The Enneagram emphasizes personal growth by helping individuals understand their core type, as well as the influences of adjacent types (wings) and how they behave under stress or security.
    ",3w2
377f4f1d,Enneagram,"
    The Enneagram is a personality typing system that describes nine distinct personality types, each driven by core motivations, fears, and desires. These types, numbered 1 through 9, represent different ways of perceiving and interacting with the world. Each type has a unique worldview, emotional patterns, and coping mechanisms. The Enneagram emphasizes personal growth by helping individuals understand their core type, as well as the influences of adjacent types (wings) and how they behave under stress or security.
    ",3w4
1100275e,Enneagram,"
    The Enneagram is a personality typing system that describes nine distinct personality types, each driven by core motivations, fears, and desires. These types, numbered 1 through 9, represent different ways of perceiving and interacting with the world. Each type has a unique worldview, emotional patterns, and coping mechanisms. The Enneagram emphasizes personal growth by helping individuals understand their core type, as well as the influences of adjacent types (wings) and how they behave under stress or security.
    ",4w3
83b17ec5,Enneagram,"
    The Enneagram is a personality typing system that describes nine distinct personality types, each driven by core motivations, fears, and desires. These types, numbered 1 through 9, represent different ways of perceiving and interacting with the world. Each type has a unique worldview, emotional patterns, and coping mechanisms. The Enneagram emphasizes personal growth by helping individuals understand their core type, as well as the influences of adjacent types (wings) and how they behave under stress or security.
    ",4w5
2cafe7c7,Enneagram,"
    The Enneagram is a personality typing system that describes nine distinct personality types, each driven by core motivations, fears, and desires. These types, numbered 1 through 9, represent different ways of perceiving and interacting with the world. Each type has a unique worldview, emotional patterns, and coping mechanisms. The Enneagram emphasizes personal growth by helping individuals understand their core type, as well as the influences of adjacent types (wings) and how they behave under stress or security.
    ",5w4
8a69eb59,Enneagram,"
    The Enneagram is a personality typing system that describes nine distinct personality types, each driven by core motivations, fears, and desires. These types, numbered 1 through 9, represent different ways of perceiving and interacting with the world. Each type has a unique worldview, emotional patterns, and coping mechanisms. The Enneagram emphasizes personal growth by helping individuals understand their core type, as well as the influences of adjacent types (wings) and how they behave under stress or security.
    ",5w6
7cedf361,Enneagram,"
    The Enneagram is a personality typing system that describes nine distinct personality types, each driven by core motivations, fears, and desires. These types, numbered 1 through 9, represent different ways of perceiving and interacting with the world. Each type has a unique worldview, emotional patterns, and coping mechanisms. The Enneagram emphasizes personal growth by helping individuals understand their core type, as well as the influences of adjacent types (wings) and how they behave under stress or security.
    ",6w5
94a65fdc,Enneagram,"
    The Enneagram is a personality typing system that describes nine distinct personality types, each driven by core motivations, fears, and desires. These types, numbered 1 through 9, represent different ways of perceiving and interacting with the world. Each type has a unique worldview, emotional patterns, and coping mechanisms. The Enneagram emphasizes personal growth by helping individuals understand their core type, as well as the influences of adjacent types (wings) and how they behave under stress or security.
    ",6w7
1354bfcf,Enneagram,"
    The Enneagram is a personality typing system that describes nine distinct personality types, each driven by core motivations, fears, and desires. These types, numbered 1 through 9, represent different ways of perceiving and interacting with the world. Each type has a unique worldview, emotional patterns, and coping mechanisms. The Enneagram emphasizes personal growth by helping individuals understand their core type, as well as the influences of adjacent types (wings) and how they behave under stress or security.
    ",7w6
eee72c89,Enneagram,"
    The Enneagram is a personality typing system that describes nine distinct personality types, each driven by core motivations, fears, and desires. These types, numbered 1 through 9, represent different ways of perceiving and interacting with the world. Each type has a unique worldview, emotional patterns, and coping mechanisms. The Enneagram emphasizes personal growth by helping individuals understand their core type, as well as the influences of adjacent types (wings) and how they behave under stress or security.
    ",7w8
c1def00a,Enneagram,"
    The Enneagram is a personality typing system that describes nine distinct personality types, each driven by core motivations, fears, and desires. These types, numbered 1 through 9, represent different ways of perceiving and interacting with the world. Each type has a unique worldview, emotional patterns, and coping mechanisms. The Enneagram emphasizes personal growth by helping individuals understand their core type, as well as the influences of adjacent types (wings) and how they behave under stress or security.
    ",8w7
f944f2ab,Enneagram,"
    The Enneagram is a personality typing system that describes nine distinct personality types, each driven by core motivations, fears, and desires. These types, numbered 1 through 9, represent different ways of perceiving and interacting with the world. Each type has a unique worldview, emotional patterns, and coping mechanisms. The Enneagram emphasizes personal growth by helping individuals understand their core type, as well as the influences of adjacent types (wings) and how they behave under stress or security.
    ",8w9
559baa12,Enneagram,"
    The Enneagram is a personality typing system that describes nine distinct personality types, each driven by core motivations, fears, and desires. These types, numbered 1 through 9, represent different ways of perceiving and interacting with the world. Each type has a unique worldview, emotional patterns, and coping mechanisms. The Enneagram emphasizes personal growth by helping individuals understand their core type, as well as the influences of adjacent types (wings) and how they behave under stress or security.
    ",9w8
c5c8dca8,Enneagram,"
    The Enneagram is a personality typing system that describes nine distinct personality types, each driven by core motivations, fears, and desires. These types, numbered 1 through 9, represent different ways of perceiving and interacting with the world. Each type has a unique worldview, emotional patterns, and coping mechanisms. The Enneagram emphasizes personal growth by helping individuals understand their core type, as well as the influences of adjacent types (wings) and how they behave under stress or security.
    ",9w1
61abc862,Tarot,"
    The Tarot Persona framework uses the 22 Major Arcana cards from the tarot deck to create unique personality archetypes. Each card represents a different archetype with its own set of characteristics, strengths, and challenges.
    ",The Fool
b5601ac5,Tarot,"
    The Tarot Persona framework uses the 22 Major Arcana cards from the tarot deck to create unique personality archetypes. Each card represents a different archetype with its own set of characteristics, strengths, and challenges.
    ",The Magician
dd3d8bd8,Tarot,"
    The Tarot Persona framework uses the 22 Major Arcana cards from the tarot deck to create unique personality archetypes. Each card represents a different archetype with its own set of characteristics, strengths, and challenges.
    ",The High Priestess
782795fa,Tarot,"
    The Tarot Persona framework uses the 22 Major Arcana cards from the tarot deck to create unique personality archetypes. Each card represents a different archetype with its own set of characteristics, strengths, and challenges.
    ",The Empress
635f94a5,Tarot,"
    The Tarot Persona framework uses the 22 Major Arcana cards from the tarot deck to create unique personality archetypes. Each card represents a different archetype with its own set of characteristics, strengths, and challenges.
    ",The Emperor
63397651,Tarot,"
    The Tarot Persona framework uses the 22 Major Arcana cards from the tarot deck to create unique personality archetypes. Each card represents a different archetype with its own set of characteristics, strengths, and challenges.
    ",The Hierophant
e47122bd,Tarot,"
    The Tarot Persona framework uses the 22 Major Arcana cards from the tarot deck to create unique personality archetypes. Each card represents a different archetype with its own set of characteristics, strengths, and challenges.
    ",The Lovers
988503dc,Tarot,"
    The Tarot Persona framework uses the 22 Major Arcana cards from the tarot deck to create unique personality archetypes. Each card represents a different archetype with its own set of characteristics, strengths, and challenges.
    ",The Chariot
308828a0,Tarot,"
    The Tarot Persona framework uses the 22 Major Arcana cards from the tarot deck to create unique personality archetypes. Each card represents a different archetype with its own set of characteristics, strengths, and challenges.
    ",Strength
e3e7ddb2,Tarot,"
    The Tarot Persona framework uses the 22 Major Arcana cards from the tarot deck to create unique personality archetypes. Each card represents a different archetype with its own set of characteristics, strengths, and challenges.
    ",The Hermit
50d939f7,Tarot,"
    The Tarot Persona framework uses the 22 Major Arcana cards from the tarot deck to create unique personality archetypes. Each card represents a different archetype with its own set of characteristics, strengths, and challenges.
    ",Wheel of Fortune
62bb9e95,Tarot,"
    The Tarot Persona framework uses the 22 Major Arcana cards from the tarot deck to create unique personality archetypes. Each card represents a different archetype with its own set of characteristics, strengths, and challenges.
    ",Justice
1df3474d,Tarot,"
    The Tarot Persona framework uses the 22 Major Arcana cards from the tarot deck to create unique personality archetypes. Each card represents a different archetype with its own set of characteristics, strengths, and challenges.
    ",The Hanged Man
ea6b46fe,Tarot,"
    The Tarot Persona framework uses the 22 Major Arcana cards from the tarot deck to create unique personality archetypes. Each card represents a different archetype with its own set of characteristics, strengths, and challenges.
    ",Death
e1e0d39f,Tarot,"
    The Tarot Persona framework uses the 22 Major Arcana cards from the tarot deck to create unique personality archetypes. Each card represents a different archetype with its own set of characteristics, strengths, and challenges.
    ",Temperance
5c902808,Tarot,"
    The Tarot Persona framework uses the 22 Major Arcana cards from the tarot deck to create unique personality archetypes. Each card represents a different archetype with its own set of characteristics, strengths, and challenges.
    ",The Devil
c6cadcf7,Tarot,"
    The Tarot Persona framework uses the 22 Major Arcana cards from the tarot deck to create unique personality archetypes. Each card represents a different archetype with its own set of characteristics, strengths, and challenges.
    ",The Tower
0ed0004c,Tarot,"
    The Tarot Persona framework uses the 22 Major Arcana cards from the tarot deck to create unique personality archetypes. Each card represents a different archetype with its own set of characteristics, strengths, and challenges.
    ",The Star
69892d74,Tarot,"
    The Tarot Persona framework uses the 22 Major Arcana cards from the tarot deck to create unique personality archetypes. Each card represents a different archetype with its own set of characteristics, strengths, and challenges.
    ",The Moon
7e1e78ac,Tarot,"
    The Tarot Persona framework uses the 22 Major Arcana cards from the tarot deck to create unique personality archetypes. Each card represents a different archetype with its own set of characteristics, strengths, and challenges.
    ",The Sun
53cb2d39,Tarot,"
    The Tarot Persona framework uses the 22 Major Arcana cards from the tarot deck to create unique personality archetypes. Each card represents a different archetype with its own set of characteristics, strengths, and challenges.
    ",Judgement
917c6bd2,Tarot,"
    The Tarot Persona framework uses the 22 Major Arcana cards from the tarot deck to create unique personality archetypes. Each card represents a different archetype with its own set of characteristics, strengths, and challenges.
    ",The World
